Haynes	NP	Haynes
has	VBZ	have
pulled	VBN	pull
off	RP	off
something	NN	something
remarkable	JJ	remarkable
here	RB	here
,	,	,
without	IN	without
a	DT	a
trace	NN	trace
of	IN	of
winking	VBG	wink
or	CC	or
archness	NN	archness
.	SENT	.
It�s	NNS	<unknown>
been	VBN	be
a	DT	a
long	JJ	long
time	NN	time
since	IN	since
the	DT	the
movies	NNS	movie
have	VBP	have
seen	VBN	see
a	DT	a
fuse	NN	fuse
of	IN	of
pure	JJ	pure
ardor	NN	ardor
burn	VBP	burn
this	DT	this
slowly	RB	slowly
and	CC	and
steadily	RB	steadily
,	,	,
leading	VBG	lead
to	TO	to
such	PDT	such
an	DT	an
unexpectedly	RB	unexpectedly
moving	VBG	move
explosion	NN	explosion
of	IN	of
resolve	NN	resolve
.	SENT	.
