One	CD	One
of	IN	of
the	DT	the
reasons	NNS	reason
that	IN	that
Spotlight	NP	<unknown>
is	VBZ	be
so	RB	so
deeply	RB	deeply
,	,	,
absurdly	RB	absurdly
satisfying	VBG	satisfy
to	TO	to
this	DT	this
newspaper	NN	newspaper
writer	NN	writer
�	NN	<unknown>
is	VBZ	be
that	IN	that
Tom	NP	Tom
McCarthy�s	NP	<unknown>
movie	NN	movie
doesn�t	NN	<unknown>
turn	VB	turn
its	PP$	its
journalists	NNS	journalist
into	IN	into
heroes	NNS	hero
.	SENT	.
It	PP	it
just	RB	just
lets	VBZ	let
them	PP	them
do	VBP	do
their	PP$	their
jobs	NNS	job
,	,	,
as	IN	as
tedious	JJ	tedious
and	CC	and
critical	JJ	critical
as	IN	as
those	DT	those
are	VBP	be
,	,	,
with	IN	with
a	DT	a
realism	NN	realism
that	WDT	that
grips	VBZ	grip
an	DT	an
audience	NN	audience
almost	RB	almost
in	IN	in
spite	NN	spite
of	IN	of
itself	PP	itself
.	SENT	.
