Hitman	NP	hitman
:	:	:
Agent	NN	agent
47	CD	@card@
is	VBZ	be
a	DT	a
film	NN	film
that	WDT	that
bears	VBZ	bear
nothing	NN	nothing
but	CC	but
a	DT	a
passing	VBG	pass
resemblance	NN	resemblance
to	TO	to
the	DT	the
game	NN	game
that	WDT	that
spawned	VBD	spawn
it	PP	it
,	,	,
but	CC	but
that	DT	that
shouldn’t	JJ	<unknown>
surprise	NN	surprise
anyone	NN	anyone
,	,	,
as	IN	as
it’s	NNS	<unknown>
all	RB	all
just	RB	just
a	DT	a
cash	NN	cash
grab	NN	grab
,	,	,
anyway	RB	anyway
.	SENT	.
No	DT	no
choice	NN	choice
but	CC	but
to	TO	to
wash	VB	wash
,	,	,
rinse	VB	rinse
,	,	,
repeat	NN	repeat
:	:	:
cha-ching	VBG	<unknown>
.	SENT	.
