Ritchie	NP	Ritchie
manages	VBZ	manage
a	DT	a
promising	JJ	promising
first	JJ	first
act	NN	act
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
whim	NN	whim
of	IN	of
the	DT	the
action	NN	action
movie	NN	movie
formula	NN	formula
,	,	,
and	CC	and
ostensibly	RB	ostensibly
nothing	NN	nothing
else	RB	else
,	,	,
priorities	NNS	priority
shift	VBP	shift
as	IN	as
the	DT	the
story	NN	story
carries	VBZ	carry
forward	RB	forward
.	SENT	.
When	WRB	when
we’re	NN	<unknown>
asked	VBD	ask
later	RBR	later
on	IN	on
to	TO	to
attend	VB	attend
to	TO	to
escalating	VBG	escalate
stakes	NNS	stake
and	CC	and
a	DT	a
dimming	VBG	dim
tone	NN	tone
,	,	,
we’re	NN	<unknown>
simply	RB	simply
left	VBD	leave
wondering	VBG	wonder
what	WP	what
happened	VBN	happen
to	TO	to
all	PDT	all
the	DT	the
fun	NN	fun
.	SENT	.
