There	EX	there
's	VBZ	be
only	RB	only
one	CD	one
star	NN	star
in	IN	in
this	DT	this
movie	NN	movie
:	:	:
Everest	NN	Everest
.	SENT	.
Kormákur	NP	<unknown>
could	MD	could
n't	RB	n't
shoot	VB	shoot
higher	JJR	high
than	IN	than
base	NN	base
camp	NN	camp
,	,	,
around	RB	around
14,000	CD	@card@
feet	NNS	foot
,	,	,
without	IN	without
sickening	VBG	sicken
the	DT	the
actors	NNS	actor
.	SENT	.
But	CC	but
a	DT	a
crew	NN	crew
traveled	VBD	travel
to	TO	to
the	DT	the
top	NN	top
to	TO	to
get	VB	get
footage	NN	footage
,	,	,
while	IN	while
much	RB	much
of	IN	of
the	DT	the
climbing	VBG	climb
was	VBD	be
shot	VBN	shoot
in	IN	in
the	DT	the
Dolomites	NP	<unknown>
.	SENT	.
No	DT	no
matter	NN	matter
.	SENT	.
You	PP	you
watch	VBP	watch
Everest	NN	Everest
and	CC	and
you	PP	you
believe	VBP	believe
.	SENT	.
