It	PP	it
is	VBZ	be
funny	JJ	funny
,	,	,
and	CC	and
Redford	NP	Redford
,	,	,
gracious	JJ	gracious
as	IN	as
ever	RB	ever
,	,	,
makes	VBZ	make
a	DT	a
wonderful	JJ	wonderful
straight-man	NN	<unknown>
for	IN	for
a	DT	a
comic	JJ	comic
co-costar	NN	<unknown>
who	WP	who
has	VBZ	have
the	DT	the
face	NN	face
,	,	,
voice	NN	voice
and	CC	and
posture	NN	posture
of	IN	of
a	DT	a
geezer	NN	geezer
who	WP	who
probably	RB	probably
should	MD	should
have	VB	have
tackled	VBN	tackle
this	DT	this
healing	NN	healing
hike	NN	hike
20	CD	@card@
years	NNS	year
earlier	RBR	earlier
.	SENT	.
